Filename,Step,Element,X,Y,Z,Fx,Fy,Fz,SCF_Energy,ImaginaryFrequency,ErrorTermination
Br.log,0,Br,0,0,0,0,0,0,-2544.636781,0,FALSE
,,,,,,,,,,,
C.log,0,C,0,0,0,0,0,0,-37.08958662,0,FALSE
,,,,,,,,,,,
Cl.log,0,Cl,0,0,0,0,0,0,-454.5421925,0,FALSE
,,,,,,,,,,,
F.log,0,F,0,0,0,0,0,0,-97.98650503,0,FALSE
,,,,,,,,,,,
H.log,0,H,0,0,0,0,0,0,-0.46658185,0,FALSE
,,,,,,,,,,,
I.log,0,I,0,0,0,0,0,0,-6850.676247,0,FALSE
,,,,,,,,,,,
N.log,0,N,0,0,0,0,0,0,-53.55453611,0,FALSE
,,,,,,,,,,,
O.log,0,O,0,0,0,0,0,0,-73.66181693,0,FALSE
,,,,,,,,,,,
P.log,0,P,0,0,0,0,0,0,-336.7488598,0,FALSE
,,,,,,,,,,,
S.log,0,S,0,0,0,0,0,0,-393.0326717,0,FALSE
